Datum ,Dienststelle ,Beschreibung ,Wert
13.11.2014 ,"",Zentrale ,Holzschatulle,"","",""
18.11.2014 ,"",Zentrale ,Holzschatulle mit Teeglas+Löffel,"","",""
18.11.2014 ,Zentrale ,bunt bemalter Wand-Holzteller
18.11.2014 ,Zentrale ,gerahmtes Bild
15.11.2014 ,Zentrale ,gesticktes Motiv im Kupferrahmen
15.11.2014 ,Zentrale ,Madonna im Perlmuttrahmen
19.11.2014 ,Zentrale ,Deko-Holzkamm
19.11.2014 ,Zentrale ,"Besteck, verziert"
19.11.2014 ,Zentrale ,Obstschale bunt
"","",1 Medaille zum 50. Jahrestag dipl.
21.11.2014 ,Zentrale ,Bez.
"","","1 Vase, Beutel mit Pistazien"
17.11.2014 ,Zentrale ,fehlte
11.11.2014 ,Zentrale ,1 Porzellan-Elefant
21.11.2014 ,Zentrale ,ungarische Porzellanbox
21.11.2014 ,Zentrale ,kleine Steinvase mit Metallständer
"","","Ölgemälde auf Leinwand,"
"","","goldfarbener Rahmen,"
"","","Berglandschaft mit Fluss, ca."
25.04.2006 ,Zentrale ,90x65cm
"","","Mathila Painting ""Bharti Dayal"","
24.04.2006 ,Zentrale ,Größe 91x70cm
"","",Bildband Kasachstan und Bild aus
"","","Leder, im Rahmen gespannt,"
19.05.2006 ,Zentrale ,"Jagdszene, Größe 58x50cm"
"","",Bild vom Glockenturm Ivans des
"","","Großen/ Kathedralplatz Kreml,"
"","","Arkhangelski Kathedrale, Titel in"
"","","kyrillischen Buchstaben, 19. JH,"
29.06.2006 ,Zentrale ,Holzrahmen 51x62cm
"","",Topographie des Landes aus
"","",Holz auf Sandhintergrund im
14.08.2006 ,Zentrale ,"roten Holzrahmen 29,5x35,5cm"
"","",Bild gerahmt mit Passepartout
"","",von Eduard Garreaud ca
19.10.2006 ,Zentrale ,50x42cm
"","",Bild in verzierten Goldrahmen
03.11.2006 ,Zentrale ,40cm breit und 43cm hoch
"","",Bild Kupferportal mit Kacheln ca
22.12.2006 ,Zentrale ,50x65cm
"","",Bild Grüne Quadrate ca 58cm
20.12.2006 ,Zentrale ,breit
"","","Bild im Metallrahmen, Metall-"
"","",Brunnenabbildung und Säulen mit
14.11.2006 ,Zentrale ,schwarzen Rosen ca. 35x25cm
24.03.2007 ,Zentrale ,2 Bilder Geschichtsbaum
29.05.2007 ,Zentrale ,Bild 56x45cm
14.07.2007 ,Zentrale ,Brief in Bilderrahmen (kaputt)
20.07.2007 ,Zentrale ,Bild vom Kreml in Rahmen
"","",Bild 68x18cm in Öl in vergoldeten
06.09.2007 ,Zentrale ,Rahmen
"","","""God bless our home"" gesickt,"
"","",umrahmt von Blumenrelief in
01.11.2007 ,Zentrale ,Belch 43x30cm
11.02.2008 ,Zentrale ,"Ölgemälde 1m x 1,10 m"
"","",filigrane Pferdekutsche in Vitrine
27.02.2008 ,Zentrale ,27x13x15cm
"","","Gemälde, Öl, Herbstlandschaft,"
"","",gerahmt 90x70cm (Nr 255
"","",beinhaltet außerdem eine
"","",Porzellan-Blutskirche und ein
"","","Buch Jekaterinburg, diese"
"","",Geschenke werden unter einer
"","",anderen Nr im Geschenkelager
13.05.2008 ,Zentrale ,geführt.)
"","",Gaustein eingerahmt in
25.02.2009 ,Zentrale ,Holzrahmen
"","","Mitternachtsblauer Samtmantel,"
03.11.2006 ,Zentrale ,Goldstickerei
28.12.2007 ,Zentrale ,Große Glaskaraffe mit Verzierung
"","","Silberdose, Namen des"
"","","Kronprinzen ist eingraviert, mit"
"","","arabischer Verzierung, 9cm hoch,"
13.06.2006 ,Zentrale ,Durchmesser 7cm
"","",kl. Blumenstrauß (silber)
ohne ,Zentrale ,(Paketklebeband mit der Nr. 18)
08.02.2007 ,Zentrale ,Kleine versilberte Schale
11.10.2007 ,Zentrale ,Holzkiste mit versilbertem Deckel
"","",1 silberne Dose mit duftendem
"","","Inhalt, 2 durchsichtige Flakons"
28.04.2006 ,Zentrale ,Parfüm
"","",Blaue Karaffe mit
"","",geschwungenem Griff
15.09.2008 ,Zentrale ,(Ornamente)
"","",6 silberne Serviettenringe aus
ohne ,Zentrale ,Malta von Malta Crafts Council
06.05.2007 ,Zentrale ,Goldmünze in Holzkästchen
"","","Silbermünze ""1879"","
20.09.2007 ,Zentrale ,Durchmesser 6cm
"","","""Kyiv hryvnia coin"", Silberne"
"","",Münze (sechseckig) aus dem 11.-
"","",13. Jahrhundert mit Zertifikat der
05.01.2006 ,Zentrale ,Nationalbank der Ukraine
"","","Silberne Statue, halb Pferd und"
"","","halb Füllhorn auf Steinblock,"
27.04.2006 ,Zentrale ,14x9cm
31.08.2007 ,Zentrale ,Briefbeschwerer aus Kristall
"","",Post-it Note Halter in Bronze mit
28.12.2006 ,Zentrale ,goldenem Fisch
28.03.2007 ,Zentrale ,Silberne Münze
01.01.2007 ,Zentrale ,Goldene Anstecknadel
15.03.2007 ,Zentrale ,"silberne Pagodenspitze, ca 10cm"
"","","Silbermünze mit Albert Einstein,"
"","","Inschrift: ""125. Geburtstag Albert"
15.07.2008 ,Zentrale ,"Einstein"""
"","",Jubiläumsmünze in brauner
??? ,Zentrale ,Schachtel
"","",Jubiläumsmünze Silber 3 Rubel
26.04.2006 ,Zentrale ,aus dem Jahr 2004
16.05.2008 ,Zentrale ,Kl. eisbär aus Speckstein
22.05.2006 ,Zentrale ,"Marmorblock 13,5x7,5cm"
"","",Wasserturm in durchsichtiger
??? ,Zentrale ,Figur
"","","Asfour Crystal, Kristallkugel auf"
"","","silbernem Sockel, stellt einen"
"","","ägyptischen Foul Topf dar, ca"
16.03.2007 ,Zentrale ,10cm
"","","Buch ""Time and the River"" von"
12.06.2007 ,Zentrale ,Prince Bolkiah
"","",Relief of Rhyton Thracian Gold
01.01.2007 ,Zentrale ,Treasure 4th Century
"","",Chinesischer Stempel aus
"","","Shoushan Stein, Provinz Fujian,"
"","",mit Drachenmotiv. Stempel:
"","",Deutschland und China -
"","","gemeinsam in Bewegung"", an der"
"","",Seite sind die Namen der beiden
13.06.2008 ,Zentrale ,Außenminister graviert
"","",Leder Kreditkartenetui dunkelgrün
01.01.2007 ,Zentrale ,mit Initialen FWS
"","",Silberschale mit Namensplakette
"","","(fehlt) Kasuri, rund Durchmesser"
25.04.2006 ,Zentrale ,16cm
"","",Silberne Schmuckdose mit rosa
07.12.2006 ,Zentrale ,Blütenbesatz ca. 6x6x5cm
"","","Dolch, goldener Schaft, Griff in"
"","","Form eines Vogels, rot/blau-"
31.05.2006 ,Zentrale ,"gestreift, ca 33cm in Holzschatulle"
"","",EU-Briefmarken im goldenen
31.12.2006 ,Zentrale ,"Rahmen, 20x21cm"
"","",Wandteller aus Leder mit
28.03.2007 ,Zentrale ,Applikationen 26cm Durchmesser
13.06.2008 ,Zentrale ,in Holz gefasste Goldplakette
"","",25th Anniversary of Brunei
"","",currency board 1967-1992 sieben
12.06.2007 ,Zentrale ,Silbermünzen versch. Werts
28.05.2007 ,Zentrale ,Silbernes Döschen
"","","Bild, Picasso Gallery, Gold/Silber"
"","","Applikation, rot/blauer Hintergrund"
"","","(zerrissener Stern), Crystal"
29.05.2006 ,Zentrale ,"Gallery ""ADGAS"""
???? ,Zentrale ,Vase blau
15.03.2007 ,Zentrale ,Miniatur Porzellanservice
"","",Modellauto Porsche (Verpackung
23.11.2006 ,Zentrale ,defekt)
"","",Vase (bauchig mit
??? ,Zentrale ,Goldverzierung)
27.08.2014 ,Zentrale ,Briefbeschwerer Glas
27.11.2014 ,Zentrale ,"Holzfigur ""Jäger"""
05.12.2014 ,Zentrale ,Holzschatulle
05.12.2014 ,Zentrale ,Teppich
"","",Mosaikvogel auf schwarzem
09.12.2014 ,Zentrale ,Sockel in Holzschatulle
"","",silberfarbener Zobel mit Pfeil auf
"","",grünem Sockel (Wappantier
"","",Abbildung Turm in silberfarbenem
??? ,Zentrale ,Rahmen
"","",Porzellanteller blaue
22.12.2014 ,Zentrale ,Blumentmotive
22.12.2014 ,Zentrale ,Skulptur Gitarrenspieler/Tänzerin
