,,,,
05.03.2010,Zentrale,E-Book „Inves Book 600“,299,Tresor
,,,,
10.03.2010,Zentrale,"Münze der Banco Central do
Brasil",,"Lager
Geschenke"
,,,,
???,Zentrale,"Buch Kasachstan-Jahr in Dtl.
2009",,"Lager
Geschenke"
,,,,
06.03.2010,Zentrale,Silberschale,,"Lager
Geschenke"
,,,,
06.03.2010,Zentrale,"1 Glasvase, 1 Glasdose mit
Deckel (blaues Glas, mit
Blumenverzierung)",,"Lager
Geschenke"
,,,,
07.03.2010,Zentrale,"Anhänger für Halskette 
Kreuz
aus Lapislazuli",,"Lager
Geschenke"
,,,,
09.03.2010,Zentrale,"2 Medaillen mit Abbildung des
Parlaments von Uruguay (eine
runde M und eine rechteckige M.)",,"Lager
Geschenke"
,,,,
10.03.2010,Zentrale,"Set mit Weinaccessoires
(Korkenzieher etc.) und ein Trikot",,"Trikot zurück
an BM-VZ am
01.03.2013,
für die Spende
an eine
Wohltätigkeitst
ombola"
,,,,
10.03.2010,Zentrale,"Trikot 
Signatur Pele , 2 Bücher
über Siemens „Siemens in Brazil
– 100 years shaping the future“",,"Lager
Geschenke"
,,,,
10.03.2010,Zentrale,3 CDs von Jacob Do Bandolim,,"Lager
Geschenke"
,,,,
25.02.2010,Zentrale,"lbild auf Leinwand 
nicht auf
Rahmen aufgespannt) Motiv:
Bulle/Kuh",,"Lager
Geschenke"
,,,,
,,,,
09.03.2010,Zentrale,"2 kleine Webteppiche mit
Edelsteinen beklebt (ca. 19 cm x
15 cm groß)",,"Lager
Geschenke"
,,,,
10.03.2010,Zentrale,"Kiste mit verschiedenen Flöten,
um Tierstimmen zu imitieren
(ca.40cm x 25cm)",,"Lager
Geschenke"
,,,,
07.03.2010,Zentrale,Silberner Schmuckanhänger,,"Lager
Geschenke"
,,,,
09.03.2010,Zentrale,"Aktenhalter aus Leder 
ca. 43 cm
x 35 cm)",,"Lager
Geschenke"
,,,,
08.03.2010,Zentrale,"Schreibtischset: Schreibunterlage,
Brieföffner und Visitenkartenetui",,"Lager
Geschenke"
,,,,
02.04.2010,Zentrale,Speedminton-Schläger,,"Lager
Geschenke"
,,,,
30.03.2010,Zentrale,"4 Untersetzer mit goldenem
Rahmen und Leder bespannt +
Halter für Untersetzer + Bierkrug
(Aufschrift: Molson Canadian)",,"Lager
Geschenke"
,,,,
09.01.2010,Zentrale,"Krippenspiel",,"Lager
Geschenke"
,,,,
13.04.2010,Zentrale,"Vase aus Holz mit Schnitzerei
(Blumenornamente) und
passender Glasvitrine gerahmt in
Holz (2 Boxen für Vase und
Vitrine)",,"Lager
Geschenke"
,,,,
01.03.2010,Zentrale,"Krippenspiel Kaffeezeremonie
mit goldenen Kaffeekannen etc.",,"Lager
Geschenke"
,,,,
13.04.2010,Zentrale,"Vase aus Holz mit Schnitzerei
(Blumenornamente) und
passender Glasvitrine gerahmt in
Holz (2 Boxen für Vase und
Vitrine)",,"Lager
Geschenke"
,,,,
09.04.2010,Zentrale,"Gelb-grünes Trikot, mit Aufschrift
„Westerwelle“",,"Lager
Geschenke"
,,,,
11.04.2010,Zentrale,"Glaspokal mit eingraviertem
Vogel und Wappen und Aufschrift
„République de Djibouti, Unité –
Égalite – Paix“",,"Lager
Geschenke"
,,,,
,,,,
29.04.2010,Zentrale,"Holzschachtel mit Verzierung,
Inhalt Krawatte",,"Lager
Geschenke"
,,,,
09.04.2010,Zentrale,"Schale stehend auf drei Füßen
(Silberfarben)",,"Lager
Geschenke"
,,,,
09.04.2010,Zentrale,"Teller mit Mosaik aus Straußenei,
von Künstler Gideon",,"Lager
Geschenke"
,,,,
09.04.2010,Zentrale,Schale mit afrikanischen Motiven,,"Lager
Geschenke"
,,,,
05.05.2010,Zentrale,Designer-Glasschale nambe.com,"99$",Tresor
,,,,
15.04.2010,Zentrale,Herren-Armbanduhr,"ca. 90",Tresor
,,,,
15.04.2010,Zentrale,Damen-Armbanduhr,"ca. 90",Tresor
,,,,
01.06.2010,Zentrale,"Hochwertige Herren-Armbanduhr,
Tabbah","> 1.000",Tresor
,,,,
02.06.2010,Zentrale,"hochwertige Herren-Armbanduhr,
Hamilton","> 1.000",Tresor
,,,,
02.06.2010,Zentrale,"hochwertige Herren-Armbanduhr,
Tabbah","> 1.000",Tresor
,,,,
02.06.2010,Zentrale,"hochwertige Herren-Armbanduhr,
„Van der Bauwede“","ca. 2.000",Tresor
,,,,
02.06.2010,Zentrale,"hochwertige Herren-Armbanduhr,
„Armand Nicolet Tramelan“",ca. 6.-7.000,Tresor
,,,,
02.06.2010,Zentrale,"hochwertige Damen-Armbanduhr
„Blancpain“","> 100",Tresor
,,,,
02.06.2010,Zentrale,"Buch v. Karen Blixen, Sven
Gothic Tales",,"Lager
Geschenke"
,,,,
06.05.2010,Zentrale,"Edelstein mit Buch über
Edelsteine",,"Lager
Geschenke"
,,,,
19.05.2010,Zentrale,"rotes Bild, l auf Leinwand 
Motiv
2 Pferde/Esel)",,"Lager
Geschenke"
,,,,
19.05.2010,Zentrale,"traditionell 
üdisches Trinkgefäß
aus Porzellan",,"Lager
Geschenke"
,,,,
22.04.2010,Zentrale,Pullover,,"Lager
Geschenke"
,,,,
23.05.2010,Zentrale,braune Vase,,"Lager
Geschenke"
,,,,
23.05.2010,Zentrale,"Holzkiste mit Schnitzerei und
Perlmutt + Tischdecke und
Servietten",,"Lager
Geschenke"
,,,,
,,,,
21.05.2010,Zentrale,"Bilderrahmen, Motiv: goldener
Zedernbaum",,"Lager
Geschenke"
,,,,
22.05.2010,Zentrale,"Dreieckige silberne Schale mit
Gravur",,"Lager
Geschenke"
,,,,
23.05.2010,Zentrale,Kleiner Dolch,,"Lager
Geschenke"
,,,,
???,Zentrale,"Buch The Art of Flying -
Singapore through the Lens of
Russel Wong",,"Lager
Geschenke"
,,,,
17.05.2010,Zentrale,Vase und Bildband,,"Lager
Geschenke"
,,,,
18.05.2010,Zentrale,Vase und Bildband,,"Lager
Geschenke"
,,,,
02.06.2010,Zentrale,"Herren-Armbanduhr „Armand
Nicolet LS8“",8000,Tresor
,,,,
07.06.2010,Zentrale,Damen-Armbanduhr „Montega“,"ber 1.000",Tresor
,,,,
08.06.2010,Zentrale,"Damen-Armbanduhr „Gérald
Genta“","> 1.000",Tresor
,,,,
01.06.2010,Zentrale,"Miniatur des Al-Masmak Castle in
Gold",,
,,,,
???,Zentrale,"Buch National Palace of Mexiko",,Büro des BM
,,,,
08.06.2010,Zentrale,schwarzes Portemonnaie,,"berlassung
an BM
Westerwelle"
,,,,
08.06.2010,Zentrale,Porzellanschale (ca. 15 x 15 cm),,"Lager
Geschenke"
,,,,
14.06.2010,Zentrale,"Buch Castles and manors of
Latvia",,"Lager
Geschenke"
,,,,
14.06.2010,Zentrale,Silbermünze,,"Lager
Geschenke"
,,,,
25.06.2010,Zentrale,"Goldene Maske in Form eines
Männergesichts (Blattgold)",,"Lager
Geschenke"
,,,,
22.06.2010,Zentrale,"Kubistisches Bild in Holzrahmen
(ca. 12 cm x 15 cm)",,"Lager
Geschenke"
,,,,
22.06.2010,Zentrale,"Russisches Lackbild 
ca. 20 cm x
30 cm)",,"Lager
Geschenke"
,,,,
16.06.2010,Zentrale,"Holzfigur mit Untersetzern,
Korkenzieher und Flaschenöffner",,"Lager
Geschenke"
,,,,
,,,,
21.06.2010,Zentrale,Tasche,,"Lager
Geschenke"
,,,,
25.06.2010,Zentrale,"Eingerahmte rumänische
Briefmarke",,"Lager
Geschenke"
,,,,
25.06.2010,Zentrale,Wein Jahrgang 1990,,"Lager
Geschenke"
,,,,
???,Zentrale,Blackberry,,Tresor
,,,,
21.06.2010,Zentrale,Herrenarmbanduhr „Tabbah“,"4.000-8.000",Tresor
,,,,
23.06.2010,Zentrale,Herren-Armbanduhr „Tabbah“,"4.000-8.000",Tresor
,,,,
04.06.2010,Zentrale,"Herren-Armbanduhr „Gio
Monaco“","4.000-8.000",Tresor
,,,,
05.07.2010,Zentrale,Holzschiff klein,,"Lager
Geschenke"
,,,,
05.07.2010,Zentrale,Holzschiff groß,,"Lager
Geschenke"
,,,,
