12.10.2014,Zentrale,"Wandteller ""Gulf Research
Center"" silber","","Lager
Geschenke"
"","","","",""
14.10.2014,Zentrale,"Teeservice, (Kupfer, vergoldet)","","Lager
Geschenke"
"","","","",""
14.10.2014,Zentrale,"Goldmünzen, Sotschi (Russland)","","Lager
Geschenke"
"","","","",""
15.10.2014,Zentrale,Bild-Bronze,"","Lager
Geschenke"
"","","","",""
12.10.2014,Zentrale,"Ring, silber","","Lager
Geschenke"
"","","","",""
12.10.2014,Zentrale,Gebetskette,"","Lager
Geschenke"
"","","","",""
06.10.2014,Zentrale,"Foto im Rahmen, schwarz-weiss","","Lager
Geschenke"
"","","","",""
09.10.2014,Zentrale,Vase mit Vogel-Blumen Motiven,"","Lager
Geschenke"
"","","","",""
21.10.2014,Zentrale,"gerahmtes Bild ""Ibadan Praise
Singer""","","Lager
Geschenke"
"","","","",""
22.10.2014,Zentrale,"gerahmtes lgemälde
(Segelboote)","","Lager
Geschenke"
"","","","",""
23.10.2014,Zentrale,10 Briefmarken in Rahmen,"","Lager
Geschenke"
"","","","",""
23.10.2014,Zentrale,3 Goldmünzen in Holzbox,"","Lager
Geschenke"
"","","","",""
23.10.2014,Zentrale,"6 Silbermünzen mit
Kirchenmotiven in Holzbox","","Lager
Geschenke"
06.11.2014,Zentrale,"Herrenarmbanduhr der Marke
Tissot, schwarzes Lederarmband","",""
"","","","",""
06.11.2014,Zentrale,"Geschenk-Set 
Kravatte,
Einstecktuch, Gürtel,
Portemonaie) in Holzbox","",""
"","","","",""
13.06.2014,Bo Peking,"Herrenarmbanduhr EBOHR,
Lederarmband","",""
"","","","",""
06.11.2014,Bo Doha,"Stift der Marke ""Mont Blanc""","",""
"","","","",""
06.11.2014,Bo Chisinau,Mont Blanc-Kugelschreiber,"",""
"","","","",""
06.11.2014,Bo Riad,"Herrenarmbanduhr 
Pilotenuhr
ROTARY","",""
"","","","",""
06.11.2014,Bo Peking,"Pulsuhr 
ein Teil im Karton fehlt,
was?)",ca. 90,""
"","","","",""
06.11.2014,Zentrale,Gedenkmünze Brunei,"",""
"","","","",""
06.11.2014,Zentrale,kleines gerahmtes Bild,"",""
"","","","",""
06.11.2014,Bo Moskau,Schal Cesare Gatti,"",""
"","","","",""
30.09.2014,Bo Peking,Jadepferd,ca. 125,""
"","","","",""
Juli 2014,Zentrale,"Geschenk-Set 
Kravatte,
Enstecktuch, Gürtel,
Portemonaie) in Holzbox","",""
"","","","",""
"September
2014",Zentrale,"Herrenarmbanduhr EDOX Day
Retrograde",ca. 700,""
"","","","",""
06.11.2014,Bo Doha,"Herrenarmbanduhr ROLEX
""Oyster Perpetual Datejust""","",""
"","","","",""
06.11.2014,5-B-2,Tee-Service,"",""
26.10.2014,Zentrale,"Uhr mit versch. Funktionen
(Kompass, Temperatur, Uhrzeit)","","Lager
Geschenke"
"","","","",""
26.10.2014,Zentrale,Kugelschreiber (Rimador),"","Lager
Geschenke"
"","","","",""
26.10.2014,Zentrale,Wandplakette,"","Lager
Geschenke"
"","","","",""
01.11.2014,Zentrale,weiße Keramikschale mit Deckel,"","Lager
Geschenke"
"","","","",""
01.11.2014,Zentrale,"Holzbild ""Changdeokgung
Palace""","","Lager
Geschenke"
"","","","",""
02.11.2014,Zentrale,"Modell ""R-80""
Regionalverkehrsflugzeugprojekt","","Verbleib bei
Ref. 405 (zust.
Fachreferat)"
"","","","",""
02.11.2014,Zentrale,Batik Schal orange,"","Lager
Geschenke"
24.11.2014,Zentrale,Herrenarmbanduhr,"",""
"","","","",""
24.11.2014,Zentrale,"Handy iPhone 6, 16 GB","",""
"","","","",""
24.11.2014,Zentrale,"Handy iPhone 6, 16 GB","",""
09.11.2014,Zentrale,"Schachspiel ""Warrior of the great
Steppe""","","Lager
Geschenke"
"","","","",""
12.11.2014,Zentrale,lackiertes Holz mit Uhr,"","Lager
Geschenke"
"","","","",""
09.09.2014,Zentrale,Weinkelch,"","Lager
Geschenke"
"","","","",""
09.09.2014,Zentrale,Weinkelch,"","Lager
Geschenke"
"","","","",""
13.11.2014,Zentrale,Holzschatulle,"","Lager
Geschenke"
"","","","",""
18.11.2014,Zentrale,Holzschatulle mit Teeglas+Löffel,"","Lager
Geschenke"
"","","","",""
18.11.2014,Zentrale,bunt bemalter Wand-Holzteller,"","Lager
Geschenke"
"","","","",""
18.11.2014,Zentrale,gerahmtes Bild,"","Lager
Geschenke"
"","","","",""
15.11.2014,Zentrale,gesticktes Motiv im Kupferrahmen,"","Lager
Geschenke"
"","","","",""
15.11.2014,Zentrale,Madonna im Perlmuttrahmen,"","Lager
Geschenke"
"","","","",""
19.11.2014,Zentrale,Deko-Holzkamm,"","Lager
Geschenke"
"","","","",""
19.11.2014,Zentrale,"Besteck, verziert","","Lager
Geschenke"
"","","","",""
19.11.2014,Zentrale,Obstschale bunt,"","Lager
Geschenke"
