Datum ,DienststelleBeschreibung ,Wert
13.07.2010 ,Zentrale ,"Buch/DVD """" Die Kissinger Saga"""""
13.07.2010 ,Zentrale ,Plexiglas Kopf
"","","Buch """"Thailand - Nine days in the"
"","","kingdom"""" by 55 great"
"","",photographers 2 Jim Thompson
22.07.2010 ,Zentrale ,Manschettenknöpfe
14.07.2010 ,Zentrale ,Holzkasten mit Jaspis-Steinplatte
"","",Silbermünze und 1 Flasche
"","",Berkut Vodka (nicht an die HV
16.07.2010 ,Zentrale ,abgegeben)
"","",Traditionelle Kleidung mit
"","",Kopfbedeckung weinrot/gold
16.07.2010 ,Zentrale ,"Gemälde, brauner Rahmen"
"","","Brauner Lederkoffer,"
"","",verschlossen (enthält
"","",Infomaterial) goldfarbener Apfel
"","",als Briefbeschwerer Kalender in
16.07.2010 ,Zentrale ,braunem Ledereinband
23.07.2010 ,Zentrale ,"Buch """"Maps of Cyprus"""""
"","",kleiner silberner Teller mit
23.07.2010 ,Zentrale ,Ständer
"","",silberner halber Lobeerkranz auf
23.07.2010 ,Zentrale ,Holzständer
"","","Bild im Silberfarbenen Rahmen,"
10.08.2010 ,Zentrale ,Gruppenbild mit BM Westerwelle
10.08.2010 ,Zentrale ,Bild rotbrauner Rahmen mit Kunst
"","",Gruppenbild „Sondersitzung des
10.08.2010 ,Zentrale ,Europäischen Rates 28.04.1990“
01.12.2009 ,Zentrale ,Vase mit Schnaps
01.12.2009 ,Zentrale ,Wandteppich und Tasse
"","",Buch „Pakistan from mountains to
01.12.2009 ,Zentrale ,sea“
"","","Hut mit Ecuador Aufschrift, Buch"
22.04.2010 ,Zentrale ,über Expressionismus
27.05.2010 ,Zentrale ,"Krawatte, Bild mit Briefmarken"
06.05.2010 ,Zentrale ,Bild (mit vier runden Früchten)
02.05.2010 ,Zentrale ,Briefbeschwerer aus Glas
??? ,Zentrale ,Gebäck- /Obstschale
04.06.2010 ,Zentrale ,8 CDs „Eternal Melody“
"","",Asiatisches Bild auf Rolle in
??? ,Zentrale ,rosafarbenem Karton
??? ,Zentrale ,Vase verziert
"","",asiatische Deko-Vase mit
??? ,Zentrale ,Unterteller
"","","Teller eckig, „Sénat“ von Raynand"
??? ,Zentrale ,Limoges“
??? ,Zentrale ,Aquarellbild gerahmt
"","",zwei Bilderrahmen (Holz- bzw.
??? ,Zentrale ,Goldfarbener Rahmen)
??? ,Zentrale ,Porzellanschale Palazzo Chigi
??? ,Zentrale ,Nepalesischer Dolch in Scheide
??? ,Zentrale ,Briefbeschwerer in Verpackung
"","",CD des Qatar Symphony
"","",Orchesters in
??? ,Zentrale ,Geschenkeverpackung
"","",Glasschale in
??? ,Zentrale ,Geschenkeverpackung
"","",Ornament in
??? ,Zentrale ,Geschenkeverpackung
"","",Stifbehälter in
06.07.2010 ,Zentrale ,Geschenkeverpackung
??? ,Zentrale ,Kalligrapie
28.05.2010 ,Osaka ,Römische Münze
"","",1 Sammlung kuwaitischer
05.07.2010 ,Zentrale ,Silbermünzen
26.07.2010 ,Zentrale ,1 Packung asiatischer Tee,""
"","","","Über 1.000,-"
29.07.2010 ,Zentrale ,"Damen-Armbanduhr, Repossi",""
"","","Damen-Armbanduhr, Gio Monaco ","Über 1.000,-"
29.07.2010 ,Zentrale ,Italia,""
"","","","Über 1.000,-"
29.07.2010 ,Zentrale ,"Damen-Armbanduhr, Repossi",""
"","",Herren-Armbanduhr „Audemars,""
"","",Piguet Royal Oak“ und,""
"","",Silberteller mit vergoldetem ,"Uhr: 17.500,-"
29.06.2010 ,Doha ,Wappentier,""
"","",Herren-Armbanduhr Swiss ,"Über 1.000,-"
