|Porzellanteller in grüner Samtbox |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Schmuckschatulle mit Zündholzschachtelbox |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|1 Krawatte I 1 Schaal |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|1 Plastik 'Öibrunnen' massiv in Schatulle |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Ukrainische Kunstpuppe |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|2 Paar Manschettenknöpfe (silber/gold) |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Swarowski-Kristall in Schatulle |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|chines. Porzellanvase |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Zinnelief |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Bildband: '60 Jahre Leben in Mannheim' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Buch: 'Rückkehr zur Avantgarde' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Bild mit 2 vergoldeten Steinböcken |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Schreibmappe |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Handtasche |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Armbanduhr; Marke 'Hamilton' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Nutzfahrzeugmodell; Fa. Wirtgen |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Damenarmbanduhr; Marke 'Cyma' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Bildband 'Marsi' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|kl. Tuch in Dose |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|kl. Glasskulptur |, (Tittot) , 2010, 09, 22, 00.00, false,| false|, fate, n.a.
|gerahmtes Foto Kommunikationssatelliten COMSATBw-1 und COMSATBw-2 |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Hängemaltel-sitz |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|2 Bücher über Provinz Misiones I Argenlinien |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Buch: Islamische Republik/Weltkulturerbe |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Bildband: 'KA3AXCT AH' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Bildband: 'Grandes Do Maracanda' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Bildband: 'Painting in Pakistan' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|kl. Holzkästchen |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Buch 'Jekkes und Templer' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Krawatte |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Ikone aus Holz |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Porzellanteller von Güral Perselen |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|handgeknüpfter Teppich |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|kl. Holzschachtel ohne Inhalt |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Halskette aus roten Kugeln |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Metalltischuhr Nobeltime |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Abzeich. mogolisch. Justuizm. I im Heiz-Glasrahmen |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|2 Modelle einer Airbustür der Fa. Eurocopter |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Halstuch |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Geschenkset Schlüssel- und Brillenetui |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Schlüsselanhänger I Anslecker Expo 2010 China |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Seidenbild aus China |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Bilderrahmen mit Knochen |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Buch: 'Contemporary Architecture in Eurasia |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|vietn. Reliefbild (Kupfer) |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|kl. Schale (16cm) 'Georg Jensen Living' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|1 kl. Granitplatte 'Die Legende des Urals' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|2 Kaschmir-Schals- Fa. Knauf Gips KG |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Rotwein: ' Chateauneuf-du-pape - 2007 |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|1 Fl. Reiswein |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|1 Fl . Rotwein 'Marco Porello' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|1 Fl. Jim Be<:~n |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|1 Fl. Kweichow Moutai |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|3 Fl Wein 'Huster- 2009' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|1 Fl. Dostar Vodka Gold |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|1 Fl. Chinggis Gold |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|1 Fl. Cognac |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Keramikschwert (2-teilig) Inhalt: alkoholisches Getränk |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Elefant (Indien) aus Holz |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Schmuckteller aus Kazan |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Bildband: '100 Wenders of lndia' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|energiesparende Steckerleiste |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Glasvase |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Wandteller 'Azarbaycan' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|DVD 'Sibiul Hermannstadt' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Metallteller in bl. Samtbox |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|kl. Gold Marble Vase mit Uhr |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Gebetsbuchgständer aus Holz |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Kristallvase schwarz |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Erinnerungsplakette Expo 2010 |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Fabelwesen aus Metall in brauner Schatulle |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|weiße kl. Teetasse in rosa Box |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|2 Porzellanbecher weiß in Holzschatulle |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|2 Porzellantassen weiß in Holzschatulle |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Teetasse mit Löffel |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|4 Plaketten wichtiger irakischen Symbole eingelassen in Holz |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|5 Gedenkmünzen Expo 2010 in Schatulle |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Buch mit chines. Scherenschnitten im Schuber |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Buch mit Expo-Briefmarken 2010 im Schuber |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Buch mit russ. Briefmarken im Schuber |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Bild|, gerahmt; mit 2 unter Glas eingel. Figuren , 2011, 02, 02, 00.00, false,| false|, fate, n.a.
|Bildband: 'Goal' WM 2006 |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Bild: 'Brescia - Palazzo della Loggia' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|1 Medaille mit arab. Inschrift |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|1 Untersetzer |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Skulpturzweier Fabelwesen aus Sandglas |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Wandteller (Plaste) 'Chin. Mauer' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|kl. Wandteller aus Keramik |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Silbermünze aus Mexico |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Teamjacke 'Münch-Racing-Team' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|kl. Glasprisma Varazdin (Kroatien) |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|1 Krawatte |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Briefmarken 'Chinesische Literatur' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|1 CD 'Anna Netrebko & Rolando Villazon' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|1 CD ''The best of christmas in vienna' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|1 Krawatte |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Jahreskalender 2008- Giesecke & Devrient- mit 12 Banknoten -limitierter Auflage: hier 8/2000 (s. Rückseite) |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Kugelschreiber 'Caran d'Ache' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|USB-Traveller-Set- Basler-Technologie |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Buch: 'Früher war alles schöner' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Büchlein: 'Weihnachtserinnerungen' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|2 x CD 'Musik auf Villa Hügel - 201 0' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Reisekulturtasche |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Füller/Kuli-Set- Fa. Gross |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Buch: 'Meyer Werft Papenburg' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Kerze |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|kl. Porzellanbecher (Königreich der Niederlande) |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Duschmatte |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Bildband: 'Augenweiden' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Bildband:'Kyemen 2008' |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|kl. Messingstab in roter Box |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Bücher |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Werte Wissen Wachstum |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Best Munds Meret |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Vision und Meinung |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|The Prince oft Wales |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
|Designpreis Deutschland 2010 |, 2011, 02, 02, 00.00, false, false,| fate|, n.a., BMWI
