|1 Uhr (Werbeprodukt)|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|2 Tassen, Kaffee|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,60.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Fl. Spirituose|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Aufnahme Bestand Bibliothek|,False,BMF
|Tagungsteilnahme|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|kl. Wandbild, kl. Holzteller|,2015,00,00,00.00,False,False,|Verwertung|,False,BMF
|2 Lesezeichen|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Briefbeschwerer, Stofftasche|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 kl. Schmuckkästchen|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Blumenstrauß|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Teilnahme Kongress|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Nussknacker|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|USB-Speicherstick|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|2 F. Wein|,2015,00,00,20.00,True,False,|Eigenbehalt|,True,BMF
|Nussknacker|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|USB-Speicherstick|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|2 FI. Wein|,2015,00,00,20.00,True,False,|Eigenbehalt|,True,BMF
|Nussknacker|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|USB-Speicherstick|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|2 F. Wein|,2015,00,00,20.00,True,False,|Eigenbehalt|,True,BMF
|Nussknacker|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|USB-Speicherstick|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|2 F. Wein|,2015,00,00,20.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|kl. Modellschiff, Zucker|,2015,00,00,50.00,False,True,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,20.00,True,False,|Eigenbehalt|,True,BMF
|Zierteller, 2 Stoffsets|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|Zierteller, 2 Stoffsets|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
