Haarmeyer/Wutzke/Förster Handbuch der vorläufigen Insolvenz bei Gläubigerforum am 18.11.2010, 2010, 11, 19, 00,00, Abgabe Dienstherr, fail, BMAS
Armbanduhr bei aktiver Teilnahme von StS bei Veranstaltung der belg. Ratspräsidenschaft, 2010, 12, 28, 00,00, Abgabe Dienstherr, fail, BMAS
"Sachbuch ""Vertrauen ist gut"" von Unbekannt", 2010, 2, 11, 00,00, Behalten, success, BMAS
"Buch ""Der Sozialstaat im Urteil der Bevölkerung"" von Prof. Dr. Wolfgang Glatzer Goethe-Uni Frankfurt", 2010, 5, 3, 00,00, Behalten, success, BMAS
Miniatur Buddy Bär stehend auf Sockel, 2010, 5, 5, 00,00, Behalten, success, BMAS
"MetallRente Studie 2010 ""Jugend, 2010, 5, 7, 00,00, Abgabe Dienstherr, fail, BMAS
Mosaikstier - Sozialreferentenseminar im BMAS, 2010, 5, 25, 00,00, Behalten, success, BMAS
"Medienhandbuch Berlin 2010 von Hennes Schulz, 2010, 5, 25, 00,00, Rueckgabe, fail, BMAS
Buch über die Braunkohle im Zeitraum 1985 bis 2010, 2010, 6, 8, 00,00, Abgabe Dienstherr, fail, BMAS
Standuhr (goldfarben auf Sockel aus Holz) bei Gesprächen mit der indischen Delegation unter Leitung des indischen Staatssekretärs Bandyopadhyay am 31.05.2010, 2010, 6, 9, 00,00, Abgabe Dienstherr, fail, BMAS
"Buch ""In diesem Geschäft gibt es keine Mathematik"" ", 2010, 6, 15, 00,00, Behalten, success, BMAS
"Flasche Riesling Spätlese trocken sowie DVD ""Zerrissene Umarmungen"" als Dank für eine Rede am 18.06.2010", 2010, 6, 21, 00,00, Behalten, success, BMAS
"Buch mit dem Titel ""Andere Augen - ein Fotolesetasthörbuch"" für Rede ", 2010, 5, 25, 00,00, Abgabe Dienstherr, fail, BMAS
"Porzellanschälchen von KPM für Teilnahme und Rede an der Sitzung des ZDH-Ausschusses ""Sozialversicherung""", 2010, 7, 1, 00,00, Abgabe Dienstherr, fail, BMAS
Bilderrahmen mit 10 schweizer Briefmarken, 2010, 7, 22, 00,00, Behalten, success, BMAS
Porzellanteller von Royal Delft, 2010, 9, 3, 00,00, Abgabe Dienstherr, fail, BMAS
Schmuckkästchen mit Hamsa-Symbol, 2010, 9, 6, 00,00, Abgabe Dienstherr, fail, BMAS
2 CD´s durch persönliche Überreichung, 2010, 9, 14, 00,00, Abgabe Dienstherr, fail, BMAS
1 Memospiel Nutzfahrzeuge - unaufgefordert zugeschickt, 2010, 10, 13, 00,00, Behalten, success, BMAS
"Buch zum Thema ""Ghettorenten"", 2010, 10, 15, 00,00, Behalten (Dienstgebrauch), success, BMAS
"Buch ""Zeugnisse des Holocaust - Gedenken in Yad Vashem; Gastgeschenk bei einer Dienstreise nach Israel", 2010, 10, 15, 00,00, Abgabe Dienstherr, fail, BMAS
"3 israelische Briefmarken in Acryl, 2010, 10, 26, 00,00, Behalten (Dienstgebrauch), success, BMAS
"Buch von Sven Söllner ""Studiengebühren und das Menschenrecht auf Bildung"" sowie Buch von Jürgen Meyer ""Charta der Grundrechte der Europäischen Union""", 2010, 10, 26, 00,00, Abgabe Dienstherr, fail, BMAS
"Buch von Ulrike Lange-Michael und Lörg Lantelmé: ""Gudensberg"" als Gastgeschenk bei einer Podiumsdiskussion ", 2010, 11, 8, 00,00, Behalten, success, BMAS
Taschenkalender, 2010, 11, 17, 00,00, Behalten, success, BMAS
Präsentkorb, 2010, 11, 23, 00,00, Behalten, success, BMAS
"Buch ""55 Gründe Ingenieur zu werden""  von Autor Dr.-Ing. Ekkehard Schulz", 2010, 11, 23, 00,00, Abgabe Dienstherr, fail, BMAS
Buchkalender für das Jahr 2011 von Repräsentant der Taipeh Vertretung der Bundesrepublik Deutschland, 2010, 11, 23, 00,00, Abgabe Dienstherr, fail, BMAS
"Buch ""Werte Wissen Wachstum"" von Dr. Klaus Engel und Michael Vassiliadis ", 2010, 11, 25, 00,00, Abgabe Dienstherr, fail, BMAS
"Buch ""Juristinnen"" von Marion Röwekamp ", 2010, 12, 6, 00,00, Abgabe Dienstherr, fail, BMAS
