Bewirtung, Bundesfinanzministerium, 2015, ca. 10,00 , Behalten, BMF, success
1 Fl. Spirituose, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Briefmarken, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Münzen, Bundesfinanzministerium, 2015, <5,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Buch, Bundesfinanzministerium, 2015, < 20,00 , Behalten, BMF, success
Roll-on Eau de Toilette, Bundesfinanzministerium, 2015, <10,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Tee, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
1 FI. Sekt, Bundesfinanzministerium, 2015, ca. 50,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
kl. Quarz-Uhr, Bundesfinanzministerium, 2015, 10,00 , Behalten, BMF, success
'1 Fl. Wein, Wurst', Bundesfinanzministerium, 2015, < 15,00 , Behalten, BMF, success
diverse Kleinigkeiten, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
diverse Kleinigkeiten, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Briefbeschwerer, Stofftasche', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
kl. Quarz-Uhr, Bundesfinanzministerium, 2015, < 10,00 ,  Verwertung, BMF, fail
Kaffeetassen, Bundesfinanzministerium, 2015, <25,00 , Behalten, BMF, success
'1 Buch, 1 Fl. Wein', Bundesfinanzministerium, 2015, n.a.,  Verwertung, BMF, fail
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Tee, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
'Krawatte, Kaffee', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Krawatte, Kaffee', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'kl. Quarz-Uhr, gerahmtes Bild', Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Holzschnitt mit Zollemblem, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, n.a.,  Verwertung, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Bild, Bundesfinanzministerium, 2015, <25,00 ,  Verwertung, BMF, fail
'1 Dose, 3 Medaillen, 1 Schachtel teilweise teilweise Verwertung', Bundesfinanzministerium, 2015, <25,00 , n.a., BMF, fail
1 Buch, Bundesfinanzministerium, 2015, 68,00 ,  Verwertung, BMF, fail
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Halstuch, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Halstuch, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, ca. 18,00 , Behalten, BMF, success
1 Uhr (Werbeprodukt), Bundesfinanzministerium, 2015, <20,00 , Behalten, BMF, success
'2 Tassen, Kaffee', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, ca. 60,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Fl. Spirituose, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, < 15,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
Tagungsteilnahme, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, < 20,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, < 20,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, < 20,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, < 20,00 , Behalten, BMF, success
'kl. Wandbild, kl. Holzteller', Bundesfinanzministerium, 2015, n.a.,  Verwertung, BMF, fail
2 Lesezeichen, Bundesfinanzministerium, 2015, < 20,00 , Behalten, BMF, success
'Briefbeschwerer, Stofftasche', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Schokolade, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 kl. Schmuckkästchen, Bundesfinanzministerium, 2015, < 15,00 , Behalten, BMF, success
