2 Gedenkmünzen des allchinesischen Jugend- verbandes Qindao, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
4 Glastellerchen, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
"1 Buch  (Die Kunst des Friedens) ", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 Buch "Ein Deutscher – Bischof in Russland", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Kugelschreiber, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Handtuch, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Tuch, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Fächer mit Stand- konstruktion, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch , Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 Buch "Für eine  Friedenspolitik ohne Militär", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 Tasche, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Tasse, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Memory Stick , Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 USB-Stick , Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
2 Schmuckanhänger mit Kette, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch "Die Kunst des Friedens", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 Notizbuch, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch mit einer  Broschüre, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Kaffeetassenset, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Tuch, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch "Winter im Sommer - Frühling im Herbst" , Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 Postkartenmappe "Potsdam", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 CD, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Kosmetik-Geschenk- set, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Brosche, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Schachtel Pralinen, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, Wert  < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Tasche  (Johanniter-Akademie), Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Jahrbuch der Freien Evangelischen Schule Lörrach, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch "Große See- schlachten - Wende- punkte der Weltgeschichte", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Rumänische Gedenkmünze, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Tasse, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Päkchen Pralinen, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, Wert  < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Buch "Ansichten  Rheinfelden Baden", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
"1 Buch ""Vater Unser -  Betrachtungen von  Erzbischof Ludwig Schick""", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Verbleib beim Beschäftigten,  unter der Voraussetzung der Entrichtung  einer Spende an eine karitative Einrichtung im  (geschätzten) Gegenwert des Geschenks, BMFSFJ, success
1 Buch "Der Boden- seekreis", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Polo-Shirt, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Verbleib beim Beschäftigten,  unter der Voraussetzung der Entrichtung  einer Spende an eine karitative Einrichtung im  (geschätzten) Gegenwert des Geschenks, BMFSFJ, success
"1 Buch ""Gott und Welt in  Württemberg - Eine Kirchengeschichte""", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Verbleib beim Beschäftigten,  unter der Voraussetzung der Entrichtung  einer Spende an eine karitative Einrichtung im  (geschätzten) Gegenwert des Geschenks, BMFSFJ, success
1 Schachtel Pralinen, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, Wert  < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
