Bo. Doha , Auswärtiges Amt, 2015/04/14, Rolex Damenuhr in Edelstahl ,Geschenkelager, AA, fail
Bangalore , Auswärtiges Amt, 2015/05/12, silberne Schale ,Geschenkelager, AA, fail
Ref. 700 , Auswärtiges Amt, 2015/06/07, Damenarmanduhr mit schwarzem Lederarmband ,Geschenkelager, AA, fail
Ref. 700 , Auswärtiges Amt, 2015/05//13/12, Herrenarmbanduhr Tissot ,Geschenkelager, AA, fail
Herrenarmbanduhr Tissot An: Stellv. LeiterAbt. 7, Auswärtiges Amt, 201/05//13/12, , Geschenkelager, AA, fail
silberne Kette mit Malteserkreuz-Anhänger An: Ref. 105, Auswärtiges Amt, 2015/05/28, , Geschenkelager, AA, fail
Kravatte Toyota An: Bo. Lusaka, Auswärtiges Amt, 2015/06/11, , Geschenkelager, AA, fail
Armani Kravatte An: Bo. Kabul, Auswärtiges Amt, 2015/07/08, , Geschenkelager, AA, fail
Herrenarmbanduhr Tissot An: Ref. 700, Auswärtiges Amt, 201/05//13/12, , Geschenkelager, AA, fail
Halstuch An: AS-AFGPAK, Auswärtiges Amt, 2015/03/24, , Geschenkelager, AA, fail
Kindle E-Book-Reader An: Bo. Peking, Auswärtiges Amt, 2015/02/09, , Geschenkelager, AA, fail
? Dresdner Frauenkirche An: Bo. Prag, Auswärtiges Amt, 201/04//14/13, , Geschenkelager, AA, fail
Silberfigur unter Rahmen An: Ref. 602, Auswärtiges Amt, 2015/03/26, , Geschenkelager, AA, fail
gerahmtes Mosaik An: Ref. 602, Auswärtiges Amt, 2015/03/26, , Geschenkelager, AA, fail
vergoldetes traditionelles nomadisches Trinkgefäß An: Ref. 508, Auswärtiges Amt, 2015/05/21, , Geschenkelager, AA, fail
Schreibtischset Porzellan, Auswärtiges Amt, 2015/03/25, , Geschenkelager, AA, fail
Porzellanteller, Auswärtiges Amt, 2015/01/28, , Geschenkelager, AA, fail
Silberschale, Auswärtiges Amt, 2015/04/02, , Geschenkelager, AA, fail
Bild im Rahmen, Auswärtiges Amt, 2015/03/25, , Geschenkelager, AA, fail
Porzellan / Schreibutensilien, Auswärtiges Amt, 2015/05/27, , Geschenkelager, AA, fail
Figur Reiter aus Metall, Auswärtiges Amt, unbekannt, , Geschenkelager, AA, fail
Figur Elefeant, Auswärtiges Amt, unbekannt, , Geschenkelager, AA, fail
9 Hugo Boss Kravatten An: AS-AFG-PAK, Auswärtiges Amt, 2015/04/21, , Geschenkelager, AA, fail
Flagge mit Ständer, Kolumbien, Auswärtiges Amt, 2015/07/16, , Geschenkelager, AA, fail
Buch über Algerien, Auswärtiges Amt, 2015/07/16, , Geschenkelager, AA, fail
