Seiden-Schürze, Bundesministerium des Innern, 2009-20011, a 25€, Tombola, BMI, success
Schatulle mit Teller, Bundesministerium des Innern, 2009-20011, a 25€, Tombola, BMI, success
1 Schal, 1 Wandbehang, 1 Standbild, 1 Geschenkpkg. Ess-Stäbchen, Bundesministerium des Innern, 2009-20011, a 25€, Tombola, BMI, success
1 Schlüsselanhänger,1 Kalender 2011 Moskau, Bundesministerium des Innern, 2009-20011, a 25€, Tombola Besprechungsraum im BH, BMI, success
Zierteller, Bundesministerium des Innern, 2009-20011, a 25€, Tombola, BMI, success
1 Geschenkpkg - 1 Fl. Wodka, 2 Wimpel, 1 Keramikteller, 1 Magnet, 1 Fanschal, Bundesministerium des Innern, 2009-20011, a 25€, Tombola, BMI, success
1 Geschenkpkg - 1 Fl. Wodka, 1 Wimpel, 2 Anstecker, Bundesministerium des Innern, 2009-20011, a 25€, Tombola, BMI, success
Halstuch aus Seide, Bundesministerium des Innern, 2009-20011, a 25€, Tombola, BMI, success
Glaswürfel der isrealischen Regierung, Bundesministerium des Innern, 2009-20011, a 25€, Tombola, BMI, success
1 Tuch, 1 Bild (mit Schälchen), 1 Buch, Bundesministerium des Innern, 2009-20011, a 25€, Tombola, BMI, success
zwei Bücher, Bundesministerium des Innern, 2009-20011, a 25€, Bibliothek (Dauerausleihe AL V), BMI, success
3 Flaschen Wein, Bundesministerium des Innern, 2009-20011, a 25€, Tombola, BMI, success
alte Europol-Flagge in Schaukasten, Bundesministerium des Innern, 2009-20011, a 25€, Z3-Inventarisierung (Abgabe Schaukasten an Peters zur Dauerleihe), BMI, success
Glasschale "Joska Kristall", Bundesministerium des Innern, 2009-20011, a 25€, Tombola, BMI, success
Buch "Iszenierter Terrorismus - Mediale Konstruktionen und individuelle Interpretationen", Bundesministerium des Innern, 2009-20011, 39.95 , Bibliothek, BMI, success
in Acryl eingeschlossenes Relief, Bundesministerium des Innern, 2009-20011, 39.95 , Tombola, BMI, success
Buch "Millennium von Litauen", Bundesministerium des Innern, 2009-20011, 32.50 , Selbstbehalt, BMI, success
Buch "Die Botschaft von Spanien in Berlin", Bundesministerium des Innern, 2009-20011, 27.04 , Selbstbehalt, BMI, success
Flasche Cuvee Überland 2008, Bundesministerium des Innern, 2009-20011, 28.77 , Selbstbehalt, BMI, success
Flasche Kräuter-Schnaps Trejos Devynerios, Bundesministerium des Innern, 2009-20011, 8.10 , Selbstbehalt, BMI, success
Schal(Seidentuch), Bundesministerium des Innern, 2009-20011, 8.10 , Tombola, BMI, success
Schal (Woll-Seidenmischung), Bundesministerium des Innern, 2009-20011, 8.10 , Tombola, BMI, success
Kalender 2010 ThyssenKrupp, Bundesministerium des Innern, 2009-20011, 8.10 , Inventarisierung, BMI, success
Schreibset und Regenschirm, Bundesministerium des Innern, 2009-20011, 16,50  und 8,15 , dienstliche Nutzung, BMI, success
Weinflasche in Holzkiste und USB-Stick, Bundesministerium des Innern, 2009-20011, 16,50  und 8,15 , Tombola, BMI, success
Buch mit Briefmarken und Kunstband, Bundesministerium des Innern, 2009-20011, 16,50  und 8,15 , Inventarisierung, BMI, success
Edelstahl-Schachspiel, Bundesministerium des Innern, 2009-20011, 89.00 , Versteigerung Hauptzollamt, BMI, success
Tasche und Hülle mit seidenem handgearbeiteten Wandbehang, Bundesministerium des Innern, 2009-20011, 89.00 , Tombola, BMI, success
buntes Seidentuch, Bundesministerium des Innern, 2009-20011, 89.00 , Tombola, BMI, success
Indonesische Puppe, Bundesministerium des Innern, 2009-20011, 89.00 , Inventarisierung, BMI, success
Aufsteller mit Darstellung einer historischen Stadtansicht, Bundesministerium des Innern, 2009-20011, 89.00 , Tombola, BMI, success
Porzellan Kaffeebecher, Marke "Rosenthal", Bundesministerium des Innern, 2009-20011, 29.50 , Inventarisierung, BMI, success
Buch " Werte Wissen Wachstum-Was Deutschland tun muss", Bundesministerium des Innern, 2009-20011, 19.95 , Bibliothek, BMI, success
Buch " Konsens, Krise und Konflikt - Die deutsch-amerikanischen Beziehungen im Zeichen von Terror und Irak-Krieg", Bundesministerium des Innern, 2009-20011, 4.50 , Bibliothek, BMI, success
Jonglierbälle, Bundesministerium des Innern, 2009-20011, 4.50 , Tombola, BMI, success
Kalender Bundespolizei 2011 "60 Jahre für Ihre Sicherheit" und Kalender "Schlaumäuse 2011", Bundesministerium des Innern, 2009-20011, 4.50 , Inventarisierung, BMI, success
Aktenmappe mit Broschüren, Bundesministerium des Innern, 2009-20011, 4.50 , Inventarisierung Referat KM 5, BMI, success
Tischkalender 2011, Bundesministerium des Innern, 2009-20011, 4.50 , Inventarisierung, BMI, success
Tischkalender 2012, Bundesministerium des Innern, 2009-20011, 4.50 , Inventarisierung, BMI, success
Original-Collage der Berliner Künstlerin Brigitte Lux, Bundesministerium des Innern, 2009-20011, 4.50 , Tombola, BMI, success
Bilderrahmen mit Foto von Präsident Wurster, Nachbildung eines Exponats des Nationalmuseums, 2 CD`s, Bundesministerium des Innern, 2009-20011, 4.50 , Inventarisierung, BMI, success
Multi Tool-set, Bundesministerium des Innern, 2009-20011, 4.50 , Tombola, BMI, success
Buch: "Das Erbe der Welt", Bundesministerium des Innern, 2009-20011, 49.95 , Selbstbehalt, BMI, success
Jonglierbälle, Bundesministerium des Innern, 2009-20011, 49.95 , Tombola, BMI, success
bedrucktes Stofftuch aus Japan, Bundesministerium des Innern, 2009-20011, 49.95 , Tombola, BMI, success
Buchkalender "Die gute Saat 2011", Bundesministerium des Innern, 2009-20011, 3.09 , Inventarisierung, BMI, success
chin. Briefmarkensammlung - gebunden, Bundesministerium des Innern, 2009-20011, 3.09 , Inventariesierung, BMI, success
6 Weinflaschen, Bundesministerium des Innern, 2009-20011, 3.09 , Tombola, BMI, success
Digitaler Fotorahmen in Tasche, Bundesministerium des Innern, 2009-20011, 3.09 , Tombola, BMI, success
Buch von Hans Gasser "Jemen", Bundesministerium des Innern, 2009-20011, 3.09 , Bibliothek, BMI, success
Holzkästchen, Bundesministerium des Innern, 2009-20011, 3.09 , Tombola, BMI, success
Kugelschreiber, Füller in Etui, Bundesministerium des Innern, 2009-20011, 3.09 , Tombola, BMI, success
Tuchmalerei als Gastgeschenk, Bundesministerium des Innern, 2009-20011, 3.09 , Tombola, BMI, success
Pferdeportrait auf Lederrahmen, Bundesministerium des Innern, 2009-20011, 3.09 , Tombola, BMI, success
ein Tuch , Bundesministerium des Innern, 2009-20011, 3.09 , Tombola, BMI, success
1 Geschenkpackung, Inhalt 1 Fl. Nemiroff mit 2 Gläsern, 1 Keramikteller, Bundesministerium des Innern, 2009-20011, 3.09 , Tombola, BMI, success
Android Mini Sammlerstück, Bundesministerium des Innern, 2009-20011, 3.09 , Tombola, BMI, success
Folkloredekoration der Politia Romana, Bundesministerium des Innern, 2009-20011, 3.09 , Tombola, BMI, success
